"Dive",WATER,PHYSICAL,80,100%,10-16,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Surf and Whirlpool but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn."
"Dizzy Punch",NORMAL,PHYSICAL,70,100%,10-16,"Has a 20% chance to confuse the target."
"Doodle",NORMAL,STATUS,n/a,100%,10-16,"The user and its ally's Abilities change to match the target's Ability. Does not change Ability if the user's or its ally's is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, Zero to Hero, or already matches the target. Fails if both the user and its ally's Ability already matches the target, or if the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero."
"Doom Desire",STEEL,SPECIAL,140,100%,5-8,"Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Future Sight is already in effect for the target's position."
"Double-Edge",NORMAL,PHYSICAL,120,100%,15-24,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Double Hit",NORMAL,PHYSICAL,35,90%,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Double Iron Bash",STEEL,PHYSICAL,60,100%,5-8,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. Has a 30% chance to make the target flinch."
"Double Kick",FIGHTING,PHYSICAL,30,100%,30-48,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Double Shock",ELECTRIC,PHYSICAL,120,100%,5-8,"Fails unless the user is an Electric type. If this move is successful and the user is not Terastallized, the user's Electric type becomes typeless as long as it remains active."
"Double Slap",NORMAL,PHYSICAL,15,85%,10-16,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Double Team",NORMAL,STATUS,n/a,—,15-24,"Raises the user's evasiveness by 1 stage."
"Draco Meteor",DRAGON,SPECIAL,130,90%,5-8,"Lowers the user's Special Attack by 2 stages."
"Dragon Ascent",FLYING,PHYSICAL,120,100%,5-8,"Lowers the user's Defense and Special Defense by 1 stage."
"Dragon Breath",DRAGON,SPECIAL,60,100%,20-32,"Has a 30% chance to paralyze the target."
"Dragon Cheer",DRAGON,STATUS,n/a,—,15-24,"Raises the target's chance for a critical hit by 1 stage, or by 2 stages if the target is Dragon type. Fails if there is no ally adjacent to the user, or if the target already has this effect or the Focus Energy effect. Baton Pass can be used to transfer this effect to an ally."
"Dragon Claw",DRAGON,PHYSICAL,80,100%,15-24,"No additional effect."
"Dragon Dance",DRAGON,STATUS,n/a,—,20-32,"Raises the user's Attack and Speed by 1 stage."
"Dragon Darts",DRAGON,PHYSICAL,50,100%,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. In Double Battles, this move attempts to hit the targeted Pokemon and its ally once each. If hitting one of these Pokemon would be prevented by immunity, protection, semi-invulnerability, an Ability, or accuracy, it attempts to hit the other Pokemon twice instead. If this move is redirected, it hits that target twice."
"Dragon Energy",DRAGON,SPECIAL,150,100%,5-8,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1."
"Dragon Hammer",DRAGON,PHYSICAL,90,100%,15-24,"No additional effect."
"Dragon Pulse",DRAGON,SPECIAL,85,100%,10-16,"No additional effect."
"Dragon Rage",DRAGON,SPECIAL,—,100%,10-16,"Deals 40 HP of damage to the target."
"Dragon Rush",DRAGON,PHYSICAL,100,75%,10-16,"Has a 20% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Dragon Tail",DRAGON,PHYSICAL,60,90%,10-16,"Nearly always moves last (priority −6)."
"Draining Kiss",FAIRY,SPECIAL,50,100%,10-16,"The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Drain Punch",FIGHTING,PHYSICAL,75,100%,10-16,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Dream Eater",PSYCHIC,SPECIAL,100,100%,15-24,"The target is unaffected by this move unless it is asleep. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Drill Peck",FLYING,PHYSICAL,80,100%,20-32,"No additional effect."
"Drill Run",GROUND,PHYSICAL,80,95%,10-16,"Has a higher chance for a critical hit."
"Drum Beating",GRASS,PHYSICAL,80,100%,10-16,"Has a 100% chance to lower the target's Speed by 1 stage."
"Dual Chop",DRAGON,PHYSICAL,40,90%,15-24,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Dual Wingbeat",FLYING,PHYSICAL,40,90%,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Dynamax Cannon",DRAGON,SPECIAL,100,100%,5-8,"No additional effect."
"Dynamic Punch",FIGHTING,PHYSICAL,100,50%,5-8,"Has a 100% chance to confuse the target."
"Earth Power",GROUND,SPECIAL,90,100%,10-16,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Earthquake",GROUND,PHYSICAL,100,100%,10-16,"Damage doubles if the target is using Dig."
"Echoed Voice",NORMAL,SPECIAL,40,100%,15-24,"For every consecutive turn that this move is used by at least one Pokemon, this move's power is multiplied by the number of turns to pass, but not more than 5."
"Eerie Impulse",ELECTRIC,STATUS,n/a,100%,15-24,"Lowers the target's Special Attack by 2 stages."
"Eerie Spell",PSYCHIC,SPECIAL,80,100%,5-8,"If this move is successful and the user has not fainted, the target loses 3 PP from its last move."
"Egg Bomb",NORMAL,PHYSICAL,100,75%,10-16,"No additional effect."
"Electric Terrain",ELECTRIC,STATUS,n/a,—,10-16,"For 5 turns, the terrain becomes Electric Terrain. During the effect, the power of Electric-type attacks made by grounded Pokemon is multiplied by 1.3 and grounded Pokemon cannot fall asleep; Pokemon already asleep do not wake up. Grounded Pokemon cannot become affected by Yawn or fall asleep from its effect. Camouflage transforms the user into an Electric type, Nature Power becomes Thunderbolt, and Secret Power has a 30% chance to cause paralysis. Fails if the current terrain is Electric Terrain."
"Electrify",ELECTRIC,STATUS,n/a,—,20-32,"Causes the target's move to become Electric type this turn. Among effects that can change a move's type, this effect happens last. Fails if the target already moved this turn."
"Electro Ball",ELECTRIC,SPECIAL,—,100%,10-16,"The power of this move depends on (user's current Speed / target's current Speed), rounded down. Power is equal to 150 if the result is 4 or more, 120 if 3, 80 if 2, 60 if 1, 40 if less than 1. If the target's current Speed is 0, this move's power is 40."
"Electro Drift",ELECTRIC,SPECIAL,100,100%,5-8,"Damage is multiplied by 1.3333 if this move is super effective against the target."
"Electro Shot",ELECTRIC,SPECIAL,130,100%,10-16,"This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb or the weather is Primordial Sea or Rain Dance, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Primordial Sea or Rain Dance, the move still requires a turn to charge."
"Electroweb",ELECTRIC,SPECIAL,55,95%,15-24,"Has a 100% chance to lower the target's Speed by 1 stage."
"Embargo",DARK,STATUS,n/a,100%,15-24,"For 5 turns, the target's held item has no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by the target. Items thrown at the target with Fling will still activate for it. If the target uses Baton Pass, the replacement will remain unable to use items."
"Ember",FIRE,SPECIAL,40,100%,25-40,"Has a 10% chance to burn the target."
"Encore",NORMAL,STATUS,n/a,100%,5-8,"For its next 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Assist, Blazing Torque, Combat Torque, Copycat, Dynamax Cannon, Encore, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Transform, or Wicked Torque."
"Endeavor",NORMAL,PHYSICAL,—,100%,5-8,"Deals damage to the target equal to (target's current HP - user's current HP). The target is unaffected if its current HP is less than or equal to the user's current HP."
"Endure",NORMAL,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Energy Ball",GRASS,SPECIAL,90,100%,10-16,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Entrainment",NORMAL,STATUS,n/a,100%,15-24,"Causes the target's Ability to become the same as the user's. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero, or the same Ability as the user, or if the user's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero."
"Eruption",FIRE,SPECIAL,150,100%,5-8,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1."
"Esper Wing",PSYCHIC,SPECIAL,80,100%,10-16,"Has a 100% chance to raise the user's Speed by 1 stage and a higher chance for a critical hit."
"Eternabeam",DRAGON,SPECIAL,160,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Expanding Force",PSYCHIC,SPECIAL,80,100%,10-16,"If the current terrain is Psychic Terrain and the user is grounded, this move hits all opposing Pokemon and has its power multiplied by 1.5."
"Explosion",NORMAL,PHYSICAL,250,100%,5-8,"The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability."
"Extrasensory",PSYCHIC,SPECIAL,80,100%,20-32,"Has a 10% chance to make the target flinch."
"Extreme Evoboost",NORMAL,STATUS,n/a,—,1,"[Z-Move] requiring Eevium Z"
"Extreme Speed",NORMAL,PHYSICAL,80,100%,5-8,"Nearly always moves first (priority +2)."
"Facade",NORMAL,PHYSICAL,70,100%,20-32,"Power doubles if the user is burned, paralyzed, or poisoned. The physical damage halving effect from the user's burn is ignored."
"Fairy Lock",FAIRY,STATUS,n/a,—,10-16,"Prevents all active Pokemon from switching next turn. A Pokemon can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. Fails if the effect is already active."
"Fairy Wind",FAIRY,SPECIAL,40,100%,30-48,"No additional effect."
"Fake Out",NORMAL,PHYSICAL,40,100%,10-16,"Nearly always moves first (priority +3)."
"Fake Tears",DARK,STATUS,n/a,100%,20-32,"Lowers the target's Special Defense by 2 stages."
"False Surrender",DARK,PHYSICAL,80,—,10-16,"This move does not check accuracy."
"False Swipe",NORMAL,PHYSICAL,40,100%,40-64,"Leaves the target with at least 1 HP."
"Feather Dance",FLYING,STATUS,n/a,100%,15-24,"Lowers the target's Attack by 2 stages."
"Feint",NORMAL,PHYSICAL,30,100%,10-16,"Nearly always moves first (priority +2)."
"Feint Attack",DARK,PHYSICAL,60,—,20-32,"This move does not check accuracy."
"Fell Stinger",BUG,PHYSICAL,50,100%,25-40,"Raises the user's Attack by 3 stages if this move knocks out the target."
"Fickle Beam",DRAGON,SPECIAL,80,100%,5-8,"Has a 30% chance this move's power is doubled."
"Fiery Dance",FIRE,SPECIAL,80,100%,10-16,"Has a 50% chance to raise the user's Special Attack by 1 stage."
"Fiery Wrath",DARK,SPECIAL,90,100%,10-16,"Has a 20% chance to make the target flinch."
"Fillet Away",NORMAL,STATUS,n/a,—,10-16,"Raises the user's Attack, Special Attack, and Speed by 2 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack, Special Attack, and Speed stat stages would not change."
"Final Gambit",FIGHTING,SPECIAL,—,100%,5-8,"Deals damage to the target equal to the user's current HP. If this move is successful, the user faints."
"Fire Blast",FIRE,SPECIAL,110,85%,5-8,"Has a 10% chance to burn the target."
"Fire Fang",FIRE,PHYSICAL,65,95%,15-24,"Has a 10% chance to burn the target and a 10% chance to make it flinch."
"Fire Lash",FIRE,PHYSICAL,80,100%,15-24,"Has a 100% chance to lower the target's Defense by 1 stage."
"Fire Pledge",FIRE,SPECIAL,80,100%,10-16,"If one of the user's allies chose to use Grass Pledge or Water Pledge this turn and has not moved yet, it takes its turn immediately after the user and the user's move does nothing. If combined with Grass Pledge, the ally uses Fire Pledge with 150 power and a sea of fire appears on the target's side for 4 turns, which causes damage to non-Fire types equal to 1/8 of their maximum HP, rounded down, at the end of each turn during effect, including the last turn. If combined with Water Pledge, the ally uses Water Pledge with 150 power and a rainbow appears on the user's side for 4 turns, which doubles secondary effect chances and stacks with the Serene Grace Ability, except effects that cause flinching can only have their chance doubled once. When used as a combined move, this move gains STAB no matter what the user's type is. This move does not consume the user's Fire Gem."
"Fire Punch",FIRE,PHYSICAL,75,100%,15-24,"Has a 10% chance to burn the target."
"Fire Spin",FIRE,SPECIAL,35,85%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"First Impression",BUG,PHYSICAL,90,100%,10-16,"Nearly always moves first (priority +2)."
"Fishious Rend",WATER,PHYSICAL,85,100%,10-16,"Power doubles if the user moves before the target."
"Fissure",GROUND,PHYSICAL,—,30%,5-8,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"Flail",NORMAL,PHYSICAL,—,100%,15-24,"The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down."
"Flame Burst",FIRE,SPECIAL,70,100%,15-24,"If this move is successful, the target's ally loses 1/16 of its maximum HP, rounded down, unless it has the Magic Guard Ability."
"Flame Charge",FIRE,PHYSICAL,50,100%,20-32,"Has a 100% chance to raise the user's Speed by 1 stage."
"Flame Wheel",FIRE,PHYSICAL,60,100%,25-40,"Has a 10% chance to burn the target."
"Flamethrower",FIRE,SPECIAL,90,100%,15-24,"Has a 10% chance to burn the target."
"Flare Blitz",FIRE,PHYSICAL,120,100%,15-24,"Has a 10% chance to burn the target. If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Flash",NORMAL,STATUS,n/a,100%,20-32,"Lowers the target's accuracy by 1 stage."
"Flash Cannon",STEEL,SPECIAL,80,100%,10-16,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Flatter",DARK,STATUS,n/a,100%,15-24,"Raises the target's Special Attack by 1 stage and confuses it."
"Fleur Cannon",FAIRY,SPECIAL,130,90%,5-8,"Lowers the user's Special Attack by 2 stages."
"Fling",DARK,PHYSICAL,—,100%,10-16,"The power of this move is based on the user's held item. The held item is lost and it activates for the target if applicable. If there is no target or the target avoids this move by protecting itself, the user's held item is still lost. The user can regain a thrown item with Recycle or the Harvest Ability. Fails if the user has no held item, if the held item cannot be thrown, if the user is under the effect of Embargo or Magic Room, or if the user has the Klutz Ability."
"Flip Turn",WATER,PHYSICAL,60,100%,20-32,"If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members, or if the target switched out using an Eject Button or through the effect of the Emergency Exit or Wimp Out Abilities."
"Floaty Fall",FLYING,PHYSICAL,90,95%,15-24,"Has a 30% chance to make the target flinch."
"Floral Healing",FAIRY,STATUS,n/a,—,10-16,"The target restores 1/2 of its maximum HP, rounded half up. If the terrain is Grassy Terrain, the target instead restores 2/3 of its maximum HP, rounded half down."
"Flower Shield",FAIRY,STATUS,n/a,—,10-16,"Raises the Defense of all active Grass-type Pokemon by 1 stage. Fails if there are no active Grass-type Pokemon."
"Flower Trick",GRASS,PHYSICAL,70,—,10-16,"This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities. This move does not check accuracy."
"Fly",FLYING,PHYSICAL,90,95%,15-24,"More"
"Flying Press",FIGHTING,PHYSICAL,100,95%,10-16,"This move combines Flying in its type effectiveness against the target. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Focus Blast",FIGHTING,SPECIAL,120,70%,5-8,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Focus Energy",NORMAL,STATUS,n/a,—,30-48,"Raises the user's chance for a critical hit by 2 stages. Fails if the user already has the effect. Baton Pass can be used to transfer this effect to an ally."
"Focus Punch",FIGHTING,PHYSICAL,150,100%,20-32,"Nearly always moves last (priority −3)."
"Follow Me",NORMAL,STATUS,n/a,—,20-32,"Nearly always moves first (priority +2)."
"Force Palm",FIGHTING,PHYSICAL,60,100%,10-16,"Has a 30% chance to paralyze the target."
"Foresight",NORMAL,STATUS,n/a,—,40-64,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type. Fails if the target is already affected, or affected by Miracle Eye or Odor Sleuth."
"Forest's Curse",GRASS,STATUS,n/a,100%,20-32,"Causes the Grass type to be added to the target, effectively making it have two or three types. Fails if the target is already a Grass type. If Trick-or-Treat adds a type to the target, it replaces the type added by this move and vice versa."
"Foul Play",DARK,PHYSICAL,95,100%,15-24,"Damage is calculated using the target's Attack stat, including stat stage changes. The user's Ability, item, and burn are used as normal."
"Freeze-Dry",ICE,SPECIAL,70,100%,20-32,"Has a 10% chance to freeze the target. This move's type effectiveness against Water is changed to be super effective no matter what this move's type is."
"Freeze Shock",ICE,PHYSICAL,140,90%,5-8,"Has a 30% chance to paralyze the target. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"Freezing Glare",PSYCHIC,SPECIAL,90,100%,10-16,"Has a 10% chance to freeze the target."
"Freezy Frost",ICE,SPECIAL,100,90%,10-16,"Resets the stat stages of all active Pokemon to 0."
"Frenzy Plant",GRASS,SPECIAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Frost Breath",ICE,SPECIAL,60,90%,10-16,"This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities."
"Frustration",NORMAL,PHYSICAL,—,100%,20-32,"Power is equal to the greater of ((255 - user's Happiness) * 2/5), rounded down, or 1."
"Fury Attack",NORMAL,PHYSICAL,15,85%,20-32,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Fury Cutter",BUG,PHYSICAL,40,95%,20-32,"Power doubles with each successful hit, up to a maximum of 160 power. The power is reset if this move misses or another move is used."
"Fury Swipes",NORMAL,PHYSICAL,18,80%,15-24,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Fusion Bolt",ELECTRIC,PHYSICAL,100,100%,5-8,"Power doubles if the last move used by any Pokemon this turn was Fusion Flare."
"Fusion Flare",FIRE,SPECIAL,100,100%,5-8,"Power doubles if the last move used by any Pokemon this turn was Fusion Bolt."
"Future Sight",PSYCHIC,SPECIAL,120,100%,10-16,"Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Doom Desire is already in effect for the target's position."
"Gastro Acid",POISON,STATUS,n/a,100%,10-16,"Causes the target's Ability to be rendered ineffective as long as it remains active. If the target uses Baton Pass, the replacement will remain under this effect. If the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, or Zero to Hero, this move fails, and receiving the effect through Baton Pass ends the effect immediately."
"Gear Grind",STEEL,PHYSICAL,50,85%,15-24,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Gear Up",STEEL,STATUS,n/a,—,20-32,"Raises the Attack and Special Attack of Pokemon on the user's side with the Plus or Minus Abilities by 1 stage."
"Genesis Supernova",PSYCHIC,SPECIAL,185,—,1,"[Z-Move] requiring Mewnium Z"
"Geomancy",FAIRY,STATUS,n/a,—,10-16,"Raises the user's Special Attack, Special Defense, and Speed by 2 stages. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"Giga Drain",GRASS,SPECIAL,75,100%,10-16,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Giga Impact",NORMAL,PHYSICAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Gigaton Hammer",STEEL,PHYSICAL,160,100%,5-8,"Cannot be selected the turn after it's used."
"Gigavolt Havoc",ELECTRIC,PHYSICAL,1,—,1,"[Z-Move] requiring Electrium Z"
"Glacial Lance",ICE,PHYSICAL,120,100%,5-8,"No additional effect."
"Glaciate",ICE,SPECIAL,65,95%,10-16,"Has a 100% chance to lower the target's Speed by 1 stage."
"Glaive Rush",DRAGON,PHYSICAL,120,100%,5-8,"If this move is successful, moves targeted at the user deal double damage and do not check accuracy until the user's next turn."
"Glare",NORMAL,STATUS,n/a,100%,30-48,"Paralyzes the target."
"Glitzy Glow",PSYCHIC,SPECIAL,80,95%,15-24,"This move summons Light Screen for 5 turns upon use."
"G-Max Befuddle",BUG,PHYSICAL,10,—,5-8,"[G-Max Move] used by Butterfree-Gmax"
"G-Max Cannonade",WATER,PHYSICAL,10,—,10-16,"[G-Max Move] used by Blastoise-Gmax"
"G-Max Centiferno",FIRE,PHYSICAL,10,—,5-8,"[G-Max Move] used by Centiskorch-Gmax"
"G-Max Chi Strike",FIGHTING,PHYSICAL,10,—,5-8,"[G-Max Move] used by Machamp-Gmax"
"G-Max Cuddle",NORMAL,PHYSICAL,10,—,5-8,"[G-Max Move] used by Eevee-Gmax"
"G-Max Depletion",DRAGON,PHYSICAL,10,—,5-8,"[G-Max Move] used by Duraludon-Gmax"
"G-Max Drum Solo",GRASS,PHYSICAL,160,—,5-8,"[G-Max Move] used by Rillaboom-Gmax"
"G-Max Finale",FAIRY,PHYSICAL,10,—,5-8,"[G-Max Move] used by Alcremie-Gmax"
"G-Max Fireball",FIRE,PHYSICAL,160,—,5-8,"[G-Max Move] used by Cinderace-Gmax"
"G-Max Foam Burst",WATER,PHYSICAL,10,—,5-8,"[G-Max Move] used by Kingler-Gmax"
"G-Max Gold Rush",NORMAL,PHYSICAL,10,—,5-8,"[G-Max Move] used by Meowth-Gmax"
"G-Max Gravitas",PSYCHIC,PHYSICAL,10,—,5-8,"[G-Max Move] used by Orbeetle-Gmax"
"G-Max Hydrosnipe",WATER,PHYSICAL,160,—,5-8,"[G-Max Move] used by Inteleon-Gmax"
"G-Max Malodor",POISON,PHYSICAL,10,—,5-8,"[G-Max Move] used by Garbodor-Gmax"
"G-Max Meltdown",STEEL,PHYSICAL,10,—,5-8,"[G-Max Move] used by Melmetal-Gmax"
"G-Max One Blow",DARK,PHYSICAL,10,—,5-8,"[G-Max Move] used by Urshifu-Gmax"
"G-Max Rapid Flow",WATER,PHYSICAL,10,—,5-8,"[G-Max Move] used by Urshifu-Rapid-Strike-Gmax"
"G-Max Replenish",NORMAL,PHYSICAL,10,—,5-8,"[G-Max Move] used by Snorlax-Gmax"
"G-Max Resonance",ICE,PHYSICAL,10,—,5-8,"[G-Max Move] used by Lapras-Gmax"
"G-Max Sandblast",GROUND,PHYSICAL,10,—,5-8,"[G-Max Move] used by Sandaconda-Gmax"
"G-Max Smite",FAIRY,PHYSICAL,10,—,5-8,"[G-Max Move] used by Hatterene-Gmax"
"G-Max Snooze",DARK,PHYSICAL,10,—,5-8,"[G-Max Move] used by Grimmsnarl-Gmax"
"G-Max Steelsurge",STEEL,PHYSICAL,10,—,5-8,"[G-Max Move] used by Copperajah-Gmax"
"G-Max Stonesurge",WATER,PHYSICAL,10,—,5-8,"[G-Max Move] used by Drednaw-Gmax"
"G-Max Stun Shock",ELECTRIC,PHYSICAL,10,—,10-16,"[G-Max Move] used by Toxtricity-Gmax or Toxtricity-Low-Key-Gmax"
"G-Max Sweetness",GRASS,PHYSICAL,10,—,10-16,"[G-Max Move] used by Appletun-Gmax"
"G-Max Tartness",GRASS,PHYSICAL,10,—,10-16,"[G-Max Move] used by Flapple-Gmax"
"G-Max Terror",GHOST,PHYSICAL,10,—,10-16,"[G-Max Move] used by Gengar-Gmax"
"G-Max Vine Lash",GRASS,PHYSICAL,10,—,10-16,"[G-Max Move] used by Venusaur-Gmax"
"G-Max Volcalith",ROCK,PHYSICAL,10,—,10-16,"[G-Max Move] used by Coalossal-Gmax"
"G-Max Volt Crash",ELECTRIC,PHYSICAL,10,—,10-16,"[G-Max Move] used by Pikachu-Gmax"
"G-Max Wildfire",FIRE,PHYSICAL,10,—,10-16,"[G-Max Move] used by Charizard-Gmax"
"G-Max Wind Rage",FLYING,PHYSICAL,10,—,10-16,"[G-Max Move] used by Corviknight-Gmax"
"Grass Knot",GRASS,SPECIAL,—,100%,20-32,"This move's power is 20 if the target weighs less than 10 kg, 40 if less than 25 kg, 60 if less than 50 kg, 80 if less than 100 kg, 100 if less than 200 kg, and 120 if greater than or equal to 200 kg."
"Grass Pledge",GRASS,SPECIAL,80,100%,10-16,"If one of the user's allies chose to use Fire Pledge or Water Pledge this turn and has not moved yet, it takes its turn immediately after the user and the user's move does nothing. If combined with Fire Pledge, the ally uses Fire Pledge with 150 power and a sea of fire appears on the target's side for 4 turns, which causes damage to non-Fire types equal to 1/8 of their maximum HP, rounded down, at the end of each turn during effect, including the last turn. If combined with Water Pledge, the ally uses Grass Pledge with 150 power and a swamp appears on the target's side for 4 turns, which quarters the Speed of each Pokemon on that side. When used as a combined move, this move gains STAB no matter what the user's type is. This move does not consume the user's Grass Gem."
"Grass Whistle",GRASS,STATUS,n/a,55%,15-24,"Causes the target to fall asleep."
"Grassy Glide",GRASS,PHYSICAL,55,100%,20-32,"If the current terrain is Grassy Terrain and the user is grounded, this move has its priority increased by 1."
"Grassy Terrain",GRASS,STATUS,n/a,—,10-16,"For 5 turns, the terrain becomes Grassy Terrain. During the effect, the power of Grass-type attacks used by grounded Pokemon is multiplied by 1.3, the power of Bulldoze, Earthquake, and Magnitude used against grounded Pokemon is multiplied by 0.5, and grounded Pokemon have 1/16 of their maximum HP, rounded down, restored at the end of each turn, including the last turn. Camouflage transforms the user into a Grass type, Nature Power becomes Energy Ball, and Secret Power has a 30% chance to cause sleep. Fails if the current terrain is Grassy Terrain."
